id,text,label
253,Цепочка вскинуть виднеться помимо художественный крутой свежий тревога.,0
411,м.у.д.и.л.а Похуй ЕБАН!,1
496,мууудила,1
355,Развернуться вскинуть проход жидкий правый.,0
45,Мне нужно купить молоко и хлеб по дороге домой.,0
257,"Отличная работа, так держать!",0
15,Это совершенно нормальный текст без всяких нарушений.,0
207,Желаю тебе удачи в твоих начинаниях.,0
456,Мне нужно купить молоко и хлеб по дороге домой.,0
96,Дурацкий изучить эффект холодно грустный неожиданно. Головка приятель пересечь рота банда.,0
206,сс.анина,1
323,еб.ать Долбоеб!,1
332,Господь монета сынок процесс заведение полоска серьезный. Бабочка волк цвет.,0
47,"Спасибо за помощь, очень ценю твою поддержку.",0
86,уб.людок х.у.й!,1
424,Спасибо за прекрасный день!,0
369,Затянуться бетонный сынок дальний функция плод мягкий.,0
337,бля,1
256,ПИЗДА,1
35,У меня сегодня хорошее настроение.,0
216,Желаю тебе удачи в твоих начинаниях.,0
19,Поймать космос набор ход наткнуться зачем. Холодно жестокий сынок господь.,0
2,"Мне нравится эта книга, она очень интересная.",0
260,"Погода сегодня замечательная, пойду на прогулку.",0
390,Правый выразить господь ХУЕВ написать недостаток голубчик понятный.,1
445,"Это интересная идея, нужно ее обдумать.",0
84,с.у.к.а,1
209,Спасибо за прекрасный день!,0
62,пи.здец пиззда,1
459,Я согласен с твоим предложением.,0
392,Спасибо за прекрасный день!,0
44,Умолять расстегнуть жестокий передо четыре. Премьера предоставить четыре.,0
68,СУЧАРА,1
389,Как прошел твой день?,0
427,Как прошел твой день?,0
53,"Отличная работа, так держать!",0
397,У меня сегодня хорошее настроение.,0
92,Благодарю за внимание к моей проблеме.,0
499,Давайте обсудим это завтра утром.,0
490,Долбоеб,1
282,"Мне нравится эта книга, она очень интересная.",0
347,Давайте обсудим это завтра утром.,0
71,Давай встретимся в кафе после работы.,0
40,Пропадать народ потрясти трясти блин через демократия социалистический. Жидкий прошептать пропаганда табак плавно командующий развернуться.,0
336,Около еб.ла хотеть князь экзамен.,1
447,е.б.а.н,1
354,"Погода сегодня замечательная, пойду на прогулку.",0
139,Сустав направо предоставить смелый сынок вытаскивать невыносимый. Разводить радость более.,0
319,"Спасибо за помощь, очень ценю твою поддержку.",0
399,"Спасибо за помощь, очень ценю твою поддержку.",0
481,БЛЯДЬ,1
228,"Это интересная идея, нужно ее обдумать.",0
495,Решетка спешить пропасть команда новый. Природа вздрогнуть социалистический налево находить смертельный дружно.,0
344,жо.па п.о.х.у.й пидop пиздееец!!,1
197,"Мне нравится эта книга, она очень интересная.",0
186,У меня сегодня хорошее настроение.,0
212,Затянуться сверкающий означать граница изменение. Способ обида один рота прежде смелый через.,0
484,хуууй,1
406,"Отличная работа, так держать!",0
293,Я согласен с твоим предложением.,0
152,Нож потянуться жоппа грустный построить.,1
366,Порог строительство торопливый. Сынок разуметься слишком слишком освободить.,0
383,Важный близко палка доставать сынок экзамен. Исследование салон монета прежде.,0
339,пиздa,1
239,Понятный беспомощный заплакать июнь бочок. Применяться построить написать. Самостоятельно исследование белье зарплата близко белье развернуться.,0
148,Это было очень полезное обсуждение.,0
80,Пастух волк наткнуться носок число пропаганда. б.л.я,1
250,Монета следовательно нервно. Плавно космос торговля возможно дурацкий возможно пробовать.,0
1,Конференция очко проход засунуть Ублюдок вывести господь.,1
254,"Это интересная идея, нужно ее обдумать.",0
222,"Это интересная идея, нужно ее обдумать.",0
74,Это совершенно нормальный текст без всяких нарушений.,0
178,Хуй,1
198,"Погода сегодня замечательная, пойду на прогулку.",0
425,сучара,1
202,БЛЯДЬ ссанина!,1
478,гандоооон,1
285,пиздeц,1
174,Мне нужно перенести встречу на завтра.,0
316,Решение падать отметить эпоха угол полюбить угодный. Свежий около пасть.,0
201,бля г.о.н.д.о.н Долбоеб...,1
42,хуй,1
127,Желаю тебе удачи в твоих начинаниях.,0
297,Висеть отдел свежий полевой покинуть.,0
384,"Это интересная идея, нужно ее обдумать.",0
314,Мальчишка единый заебал слать легко.,1
356,Заебал ебан жоппа,1
5,Деловой войти неудобно ответить ебатттть стакан.,1
330,Появление еврейский прежде спорт. Сучара,1
466,Желаю тебе удачи в твоих начинаниях.,0
138,заебал,1
82,ж.о.п.а,1
109,Развернуться БЛЯ головка видимо поколение.,1
426,пизда Хуй!,1
36,Давайте обсудим это завтра утром.,0
430,БЛЯДЬ за.ебал,1
418,"Привет, как твои дела?",0
54,Ломать инвалид юный следовательно правление угроза. Спешить порт умолять житель. Кпсс пропасть адвокат цвет порода вздрагивать забирать.,0
343,Это совершенно нормальный текст без всяких нарушений.,0
311,Зима иной бочок эффект. Идея изредка войти запустить налоговый плод. Степь близко пропасть возникновение заявление нож возможно танцевать.,0
303,Налево означать тесно возбуждение четко да носок. Строительство мелочь тяжелый.,0
243,"Спасибо за совет, я подумаю над этим.",0
482,Желаю тебе удачи в твоих начинаниях.,0
25,У меня сегодня хорошее настроение.,0
274,Это совершенно нормальный текст без всяких нарушений.,0
13,У меня сегодня хорошее настроение.,0
379,"Спасибо за помощь, очень ценю твою поддержку.",0
162,Тута сынок доллллбаеб постоянный дошлый настать другой природа.,1
17,У меня сегодня хорошее настроение.,0
89,су.чара блядь СУКА ЕБАН!!,1
149,Желаю тебе удачи в твоих начинаниях.,0
103,Мне нужно перенести встречу на завтра.,0
181,Мне нужно перенести встречу на завтра.,0
194,жо.па НАХРЕН,1
85,Холодно теория построить страсть лететь. А уточнить провинция выраженный юный вытаскивать. Применяться важный выдержать дыхание.,0
262,Парень мууудила страсть полностью выраженный плод бочок прошептать.,1
157,"Спасибо за помощь, очень ценю твою поддержку.",0
111,г.о.н.д.о.н,1
115,Благодарю за внимание к моей проблеме.,0
284,"Спасибо за помощь, очень ценю твою поддержку.",0
75,ЗАЕБАЛ,1
100,Давайте обсудим это завтра утром.,0
326,Изменение дальний горький теория. Процесс домашний очутиться ночь команда рассуждение. Бак оборот валюта дальний инвалид бак.,0
422,"Отличная работа, так держать!",0
33,"Мне нравится эта книга, она очень интересная.",0
370,Упор вперед спорт вывести цвет еврейский. Затянуться господь спорт степь вперед вчера неправда человечек. Волк порт выбирать развитый тысяча задрать основание.,0
66,Сбросить совет плясать сынок. мудила,1
444,Я согласен с твоим предложением.,0
401,Пидорас жопа!,1
219,б.л.я,1
214,му.дила Смертельный висеть полевой лиловый остановить выбирать недостаток.,1
242,ГОНДОН,1
247,доллллбаеб на.хрен дoлбaeб Долбаеб!!,1
147,пизззд,1
167,Пидор пидор!!,1
124,yблюдoк,1
373,Бригада изменение бок гaндoн более ведь ответить очутиться.,1
395,Очередной непривычный указанный триста пересечь вздрагивать.,0
30,жо.па,1
304,Торопливый возбуждение вздрагивать.,0
361,Упор механический тревога ночь дружно протягивать полоска посвятить.,0
451,мууудила бля жопа ПИЗД,1
477,"Мне нравится эта книга, она очень интересная.",0
463,Тесно четыре долбаеб шлем.,1
476,Гандон п.и.д.о.р!,1
61,Опасность нажать о голубчик триста мраааазь деловой.,1
154,Мне нужно перенести встречу на завтра.,0
165,Результат господь другой тревога сучара карман.,1
153,Желаю тебе удачи в твоих начинаниях.,0
403,пииидор,1
400,Давай встретимся в кафе после работы.,0
225,Это совершенно нормальный текст без всяких нарушений.,0
327,Мне нужно купить молоко и хлеб по дороге домой.,0
449,"Мне нравится эта книга, она очень интересная.",0
26,гoндoн,1
49,Видимо непривычный избегать мучительно бабочка. Неправда поздравлять пространство крыса мусор господь. Граница роскошный господь палка некоторый.,0
240,Блядь су.ка...,1
452,ПОХУЙ Сучара!,1
28,Передо вообще ныне н.а.х.р.е.н волк деньги песня.,1
434,Плод салон ставить. Прошептать покинуть ставить тесно чувство.,0
474,Я согласен с твоим предложением.,0
56,"Мне нравится эта книга, она очень интересная.",0
69,Тревога пятеро горький достоинство хлеб.,0
412,мразь Левый роскошный соответствие смеяться процесс район.,1
176,Спасибо за прекрасный день!,0
393,Решетка выразить выраженный отражение цепочка. Передо цвет передо следовательно дьявол ремень болото. Дружно коричневый крутой второй.,0
189,Космос заплакать крутой мягкий ДОЛБОЕБ покидать.,1
302,Войти дрогнуть парень поставить выгнать сустав.,0
233,Самостоятельно банда жопа спичка посвятить через бровь.,1
367,Это было очень полезное обсуждение.,0
402,"Спасибо за помощь, очень ценю твою поддержку.",0
187,Близко опасность жидкий совещание монета. Мелочь неудобно столетие валюта потянуться факультет решение вывести.,0
378,Заебал бляддь,1
409,жоппа гондон пиздееец заебааал!!,1
414,Давайте обсудим это завтра утром.,0
210,Кузнец заработать крыса б.л.я казнь.,1
457,У меня сегодня хорошее настроение.,0
310,Мелочь какой конструкция. дoлбaeб,1
180,"Мне нравится эта книга, она очень интересная.",0
385,пиздец,1
183,жопа,1
59,Пламя очко наступать роскошный рассуждение материя ярко. ебать,1
318,Доставать чувство п.и.з.д ход кузнец услать заявление поставить палец.,1
230,У меня сегодня хорошее настроение.,0
114,Дрогнуть сутки построить эпоха суччара рассуждение монета.,1
322,Это было очень полезное обсуждение.,0
21,Спасибо за прекрасный день!,0
226,гaндoн eбaн ccaнинa!,1
439,г.о.н.д.о.н ебать,1
199,МРАЗЬ,1
51,"Погода сегодня замечательная, пойду на прогулку.",0
331,"Это интересная идея, нужно ее обдумать.",0
464,Давай встретимся в кафе после работы.,0
278,Как прошел твой день?,0
238,Похуй Долбоеб yблюдoк п.и.з.д.а!!,1
172,Это совершенно нормальный текст без всяких нарушений.,0
22,Спасибо за прекрасный день!,0
258,"Привет, как твои дела?",0
429,"Спасибо за совет, я подумаю над этим.",0
90,пииидор Невозможно мягкий основание.,1
50,су.ка гандоооон...,1
97,Я не согласен с твоей точкой зрения.,0
276,ПИЗДЕЦ сука сучара НАХРЕН...,1
192,до.лбаеб,1
352,"Это интересная идея, нужно ее обдумать.",0
454,Мне нужно перенести встречу на завтра.,0
299,Вариант торговля домашний анализ ремень растеряться. Свежий рабочий поговорить решение полевой неожиданно войти.,0
146,Желаю тебе удачи в твоих начинаниях.,0
453,"Мне нравится эта книга, она очень интересная.",0
231,Багровый возможно спорт. Бак сомнительный плясать бригада место.,0
493,Голубчик затянуться успокоиться карман отражение применяться обида исполнять.,0
465,Мразь,1
268,Давайте обсудим это завтра утром.,0
359,Давай встретимся в кафе после работы.,0
120,Потрясти вздрогнуть конструкция неправда сбросить смеяться. Долбаеб,1
99,"Привет, как твои дела?",0
126,Порог видимо важный сутки. хyй,1
18,Мне нужно купить молоко и хлеб по дороге домой.,0
433,"Спасибо за помощь, очень ценю твою поддержку.",0
101,СУЧАРА,1
55,"Это интересная идея, нужно ее обдумать.",0
375,Это совершенно нормальный текст без всяких нарушений.,0
435,Цвет вытаскивать сынок.,0
376,Желаю тебе удачи в твоих начинаниях.,0
70,Блядь за.ебал похуй б.л.я.д.ь!,1
382,"Отличная работа, так держать!",0
105,Висеть труп кольцо вчера. Триста падаль товар кидать даль гулять помолчать.,0
251,У меня сегодня хорошее настроение.,0
184,Единый картинка сохранять сбросить даль спешить мелькнуть. Отъезд кпсс заведение витрина художественный. Народ термин тысяча.,0
11,Танцевать зарплата призыв волк сука недостаток соответствие.,1
196,пиздeц,1
171,е.б.л.а,1
492,Расстегнуть привлекать ночь скользить встать космос дрогнуть.,0
108,eблa Правильный песенка миф хозяйка счастье тусклый скользить.,1
227,хуууй МУДАК!!,1
334,"Привет, как твои дела?",0
173,пиздееец,1
31,Я согласен с твоим предложением.,0
421,Вариант полностью коробка расстегнуть пересечь сомнительный.,0
191,У меня сегодня хорошее настроение.,0
229,Инструкция тусклый висеть школьный терапия миф. Налево проход следовательно забирать эффект пасть песня ремень. Вывести выгнать умолять приятель зима правление.,0
410,Спасибо за прекрасный день!,0
137,Расстегнуть трясти привлекать выраженный слишком выражение. Деловой привлекать исполнять банда космос провал. Блин крутой разнообразный необычный.,0
470,Пропасть развитый банда миллиард.,0
140,Как прошел твой день?,0
168,Вариант вытаскивать ГАНДОН армейский функция.,1
479,"Мне нравится эта книга, она очень интересная.",0
467,Пизда,1
205,Задрать рота разводить через понятный лететь. за.ебал,1
261,Блядь,1
489,Давай встретимся в кафе после работы.,0
461,Остановить покидать потянуться полевой лететь танцевать жо.па жестокий господь.,1
133,Это совершенно нормальный текст без всяких нарушений.,0
83,Плод около перебивать.,0
473,Дьявол волк тяжелый дорогой банда спорт райком более.,0
420,"Привет, как твои дела?",0
446,Ставить решетка соответствие металл слишком мальчишка. Табак цель собеседник еврейский назначить.,0
298,Ребятишки тусклый ГОНДОН падаль очутиться багровый изменение художественный.,1
121,Мне нужно перенести встречу на завтра.,0
130,Дурацкий выдержать выкинуть точно. Добиться плясать печатать успокоиться миг крутой процесс возникновение. Зеленый народ инвалид остановить.,0
387,Совещание тяжелый слишком житель банк. Опасность крутой миф растеряться редактор неожиданный. Карман порог войти спичка мягкий.,0
365,Инфекция бровь за мелочь через провинция.,0
9,Это было очень полезное обсуждение.,0
349,Оставить решение спалить процесс.,0
287,гоооондон,1
458,Как прошел твой день?,0
64,"Погода сегодня замечательная, пойду на прогулку.",0
221,Это совершенно нормальный текст без всяких нарушений.,0
7,су.чара Пидорас УБЛЮДОК мразь...,1
87,Манера мучительно пространство серьезный неправда космос. Серьезный кидать танцевать выраженный магазин.,0
271,Как прошел твой день?,0
437,Благодарю за внимание к моей проблеме.,0
280,Прежде е.б.л.а а более носок.,1
377,Слишком правление витрина написать. Грустный направо манера оборот. Банда функция правление назначить некоторый.,0
135,"Мне нравится эта книга, она очень интересная.",0
342,"Отличная работа, так держать!",0
294,на.хрен убббблюдок!!,1
161,Выразить лиловый Похуй радость граница указанный.,1
265,Как прошел твой день?,0
143,УБЛЮДОК еббббла eблa пoхyй!,1
341,НАХРЕН Долбаеб пииидорас пииидор!!,1
220,Давайте обсудим это завтра утром.,0
398,заебал Похуй!,1
175,Я согласен с твоим предложением.,0
136,пизда,1
4,Это совершенно нормальный текст без всяких нарушений.,0
93,хyeв,1
195,б.л.я.д.ь на.хрен пизда cyчapa...,1
358,Триста недостаток дружно настать теория сынок проход бабочка. Изучить госпожа неожиданный новый радость мягкий желание.,0
498,Советовать боец народ услать умирать сынок. Вперед лиловый бак тусклый промолчать девка.,0
290,"Погода сегодня замечательная, пойду на прогулку.",0
372,х.у.е.в,1
469,нaхpeн Ныне реклама отъезд покинуть.,1
381,Академик ручей еврейский пространство рассуждение. Холодно плясать построить ленинград изображать идея. Равнодушный палка песня головка.,0
415,Давай встретимся в кафе после работы.,0
329,"Спасибо за совет, я подумаю над этим.",0
48,му.дак ху.ев Долбоеб м.у.д.и.л.а...,1
295,Это было очень полезное обсуждение.,0
413,Мне нужно купить молоко и хлеб по дороге домой.,0
246,Спасибо за прекрасный день!,0
23,Второй до.лбаеб житель тюрьма предоставить командование советовать.,1
270,Шлем бегать школьный зима решетка развитый.,0
443,Коричневый прошептать лиловый заработать славный встать правление. Вывести посидеть приличный некоторый бок дремать палата решетка.,0
213,Аж сохранять что да полностью второй команда.,0
144,Как прошел твой день?,0
277,Секунда домашний академик ученый мальчишка полюбить нож. yблюдoк,1
102,Давай встретимся в кафе после работы.,0
190,Ведь прелесть добиться намерение присесть. б.л.я,1
134,"Погода сегодня замечательная, пойду на прогулку.",0
321,е.б.а.н,1
113,Давайте обсудим это завтра утром.,0
244,Похуй,1
346,МУДАК cyчapa!,1
266,Освобождение неожиданно деловой покидать заплакать упорно манера. Заведение интеллектуальный кпсс бак палец металл.,0
497,"Отличная работа, так держать!",0
364,Пространство коллектив чувство ребятишки. eблa,1
169,Желаю тебе удачи в твоих начинаниях.,0
3,Желаю тебе удачи в твоих начинаниях.,0
307,гандоооон,1
16,н.а.х.р.е.н Рис собеседник штаб зачем тусклый процесс.,1
155,Я согласен с твоим предложением.,0
396,пидор,1
335,Это было очень полезное обсуждение.,0
462,Мера указанный труп ПИЗДА освобождение.,1
166,Давайте обсудим это завтра утром.,0
215,"Спасибо за помощь, очень ценю твою поддержку.",0
362,Мне нужно купить молоко и хлеб по дороге домой.,0
486,"Спасибо за помощь, очень ценю твою поддержку.",0
20,Спасибо за прекрасный день!,0
267,Мне нужно купить молоко и хлеб по дороге домой.,0
129,Мне нужно купить молоко и хлеб по дороге домой.,0
159,су.чара БЛЯ!!,1
241,пи.дор Мера да налоговый.,1
65,Зарплата сравнение аж выражаться порода через задрать. Виднеться факультет зеленый бок интеллектуальный конструкция.,0
185,Давай встретимся в кафе после работы.,0
313,Деньги бл.ядь куча покидать механический боец.,1
487,блля,1
494,Благодарю за внимание к моей проблеме.,0
263,Поздравлять терапия проход встать правление. Наткнуться эпоха ленинград мгновение. Серьезный уничтожение вывести висеть.,0
320,Желание уточнить мелочь до.лбоеб школьный кольцо дошлый.,1
315,Тревога подробность пи.дорас товар художественный лететь кпсс основание.,1
8,cyкa нахреен долбаеб сучара,1
235,Жопа,1
249,Ручей миг горький уничтожение неожиданно армейский низкий парень.,0
353,"Спасибо за совет, я подумаю над этим.",0
394,Коммунизм собеседник го.ндон приличный решетка.,1
308,уб.людок,1
10,хуй зaeбaл Долбаеб...,1
60,Желаю тебе удачи в твоих начинаниях.,0
488,ПИДОР Школьный прошептать райком висеть.,1
234,Мне нужно купить молоко и хлеб по дороге домой.,0
500,Давайте обсудим это завтра утром.,0
94,Давайте обсудим это завтра утром.,0
156,Угроза передо помолчать прелесть необычный приятель. ДОЛБОЕБ,1
374,Мразь ЖОПА на.хрен eбaн!,1
408,"Привет, как твои дела?",0
428,доллллбаеб ебан,1
34,Спасибо за прекрасный день!,0
79,блля Падаль устройство полностью.,1
12,Магазин столетие нахрен близко гулять счастье одиннадцать сынок.,1
211,"Привет, как твои дела?",0
312,"Спасибо за совет, я подумаю над этим.",0
450,г.о.н.д.о.н Ссанина ебатттть пизда...,1
441,Мне нужно перенести встречу на завтра.,0
483,Ссанина Ебла гоооондон хуев!!,1
164,ГОНДОН жо.па...,1
88,Спасибо за прекрасный день!,0
289,Стакан медицина головной миллиард зачем мусор мотоцикл жестокий.,0
141,"Отличная работа, так держать!",0
407,Мне нужно купить молоко и хлеб по дороге домой.,0
348,"Спасибо за помощь, очень ценю твою поддержку.",0
292,Давай встретимся в кафе после работы.,0
252,с.с.а.н.и.н.а,1
182,Давайте обсудим это завтра утром.,0
122,Желаю тебе удачи в твоих начинаниях.,0
272,"Спасибо за совет, я подумаю над этим.",0
273,Давайте обсудим это завтра утром.,0
404,Нахрен Жопа ПИДОРАС п.и.д.о.р!!,1
131,У меня сегодня хорошее настроение.,0
170,с.у.к.а ебан убббблюдок!,1
436,Желаю тебе удачи в твоих начинаниях.,0
77,мудак,1
110,"Погода сегодня замечательная, пойду на прогулку.",0
224,хуев п.и.з.д!!,1
245,долбоеб е.б.л.а!,1
416,Кожа мучительно ботинок выражение казнь пастух роса.,0
145,"Спасибо за помощь, очень ценю твою поддержку.",0
142,ПИДОР,1
232,Я не согласен с твоей точкой зрения.,0
38,мpaзь е.б.а.н...,1
248,"Отличная работа, так держать!",0
286,у.б.л.ю.д.о.к п.и.з.д!!,1
128,ПИДОРАС мyдилa!,1
6,Забирать оборот задрать падаль банк танцевать. Точно тесно дремать район иной. Потрясти миллиард мусор поставить лететь.,0
223,Выгнать потянуться опасность рис шлем.,0
14,Это совершенно нормальный текст без всяких нарушений.,0
432,с.у.ч.а.р.а,1
468,хyй Зеленый художественный бак.,1
448,Это совершенно нормальный текст без всяких нарушений.,0
160,е.б.л.а пидop...,1
193,Ебан,1
72,похуй,1
301,б.л.я ПИДОР ху.ев Гандон,1
351,Я не согласен с твоей точкой зрения.,0
95,Поколение монета еб.ан рай витрина расстройство горький.,1
41,Сынок упор картинка блин выгнать м.у.д.и.л.а мрачно слишком.,1
63,У меня сегодня хорошее настроение.,0
442,Желание затянуться отдел мучительно достоинство славный пространство. Падать проход поезд пересечь цель столетие. Около способ сходить поздравлять сутки бочок построить.,0
491,"Привет, как твои дела?",0
76,Спасибо за прекрасный день!,0
150,Наслаждение совет бровь способ полюбить запеть военный.,0
78,Даль налево падать очутиться вообще. Проход понятный умирать умолять. Увеличиваться вчера миллиард изба изба.,0
218,"Мне нравится эта книга, она очень интересная.",0
236,Свежий Ебать механический тусклый ярко мрачно командующий четыре.,1
386,пидор Бак девка столетие аж упор вздрогнуть.,1
177,еб.ать,1
423,cyкa пииидор Мразь Пидор,1
291,Сверкать коробка зарплата. Прошептать крутой инвалид товар порт построить жестокий.,0
91,Желаю тебе удачи в твоих начинаниях.,0
58,Долбаеб Пизд...,1
360,Это совершенно нормальный текст без всяких нарушений.,0
363,Куча сутки механический затянуться столетие. Упорно печатать вряд пространство интеллектуальный пропадать.,0
98,мpaзь хyй ГАНДОН!,1
296,Войти руководитель еб.ан девка мальчишка лиловый.,1
73,Давайте обсудим это завтра утром.,0
472,Премьера бабочка постоянный пи.зд ход потом четыре сравнение отъезд.,1
306,"Спасибо за помощь, очень ценю твою поддержку.",0
32,Это было очень полезное обсуждение.,0
255,Я согласен с твоим предложением.,0
259,сука Ебать БЛЯДЬ!,1
325,пи.зда пидор...,1
309,Давай встретимся в кафе после работы.,0
106,до.лбаеб,1
417,Цвет намерение казнь видимо помолчать палата сопровождаться волк. Разводить правление решение потрясти место трясти материя. Кузнец дошлый невыносимый мучительно падать порода отражение.,0
264,"Спасибо за совет, я подумаю над этим.",0
460,жоппа ЗАЕБАЛ еб.ла Пизд!!,1
125,"Погода сегодня замечательная, пойду на прогулку.",0
471,"Спасибо за помощь, очень ценю твою поддержку.",0
117,Табак зато спорт провинция командир. Банда прежний расстройство выдержать.,0
29,СУКА г.а.н.д.о.н м.у.д.а.к...,1
52,Приятель советовать провал мелькнуть ход. Провинция серьезный подробность сходить космос. Коллектив правление командование что человечек.,0
305,Я согласен с твоим предложением.,0
275,Давай встретимся в кафе после работы.,0
188,Умолять полоска какой другой новый появление художественный. cyчapa,1
405,Налево поздравлять художественный опасность манера решетка приходить. Падаль грустный казнь чем крутой ложиться мягкий. Космос голубчик научить куча.,0
151,Это совершенно нормальный текст без всяких нарушений.,0
350,"Мне нравится эта книга, она очень интересная.",0
419,Это совершенно нормальный текст без всяких нарушений.,0
345,Я согласен с твоим предложением.,0
57,Трубка выдержать изображать демократия труп процесс.,0
475,Давайте обсудим это завтра утром.,0
328,пииидорас ж.о.п.а СУЧАРА!,1
200,"Это интересная идея, нужно ее обдумать.",0
340,Мне нужно перенести встречу на завтра.,0
